File Name,Artist,Title,Earliest Date,Latest Date,Photo Archive,Image Credits,Details URL
b984e0ef-5651-4e09-9b47-68e75ab65436.jpg,Jacob Vosmaer,Bloemstilleven met een keizerskroon in een stenen nis,1613,1613,Rijksmuseum,https://lh3.googleusercontent.com/oBdHYIWmiIL9bLZ3wp78D2mObyNrq9isThJ79q1qr0fp0gIjl-fwBNFUrALVcw4TDbHVVUzhgr2nPnxpci3aWn_helLvcDXMdWg9lbYb=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-5069
7602ba6b-e7c8-45b5-8e74-c42e6b632d8f.jpg,Rembrandt van Rijn,De Vaandeldrager,1636,1636,Rijksmuseum,https://lh3.googleusercontent.com/Bq9YPknJ3GutK3HiIDBKSZ9q7NAjwjk657b63shO9qnWSoPuTTQ2R9YsF0vBY2X4_FjMvIXWtAismYR7Xi6_rA4lsEvoaN9y8gljEntw=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-5092
f1cda91e-4d37-4056-8979-028c4cd3da49.jpg,Jan van Scorel,Maria Magdalena,1530,1530,Rijksmuseum,https://lh3.googleusercontent.com/moxL3z7zz5j_5gQCgvRGcmLD-RDhVgZvA2NGREYgkLTkYUbGa4Ts-57UaQ4ilN38xWX6w_gb_eU6hkMZcC-wfMg5NQ=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-372
fb624513-6787-41b8-ad30-7c2eb70a89fa.jpg,Magdalena van de Passe,Salmacis en Hermaphroditus,1623,1623,Rijksmuseum,https://lh3.ggpht.com/vYmPXbvuMBWwc0ccsYAYOaOZB1NkYxJpYB2764NoAe9Bm8qWkWTT2P-y13BhTPUQiouS1MCVOUB_8tgq41yX1S2CYV0K=s0,http://www.rijksmuseum.nl/nl/collectie/RP-P-OB-15.828
8177d767-f0d1-4e21-9259-ba4718becba0.jpg,Magdalena van de Passe,Salmacis en Hermaphroditus,1636,1670,Rijksmuseum,https://lh3.googleusercontent.com/we8rB4CuAs6vNIUwkRtgpZD7YykbBgN9i1FVoqpIYswkzlG7z570lVpKA6ipvUMqCUPF9j0zhDvGcFOEitw44K7ZwaQ=s0,http://www.rijksmuseum.nl/nl/collectie/RP-P-2014-34-34
90052488-7154-4405-a295-b3434ef73f96.jpg,Carl Friedrich Holtzmann,Maria Magdalena,1750,1811,Rijksmuseum,https://lh3.googleusercontent.com/bw3AAu-df_XINPIkTNTdtW-aOoJv_PBf8NhMcfojNUaZOB5wf6Tn4TqbJrgWYdSGEO5xWw-uuvTSIR16_wtuAxhJPO7y3QQBEI1dObY=s0,http://www.rijksmuseum.nl/nl/collectie/RP-P-1977-155-26-1
6b5c79d4-9e6a-4632-9f27-eb1b71d11f84.jpg,anoniem,Maria Magdalena,1600,1600,Rijksmuseum,https://lh3.googleusercontent.com/E7zKhlVpkx773av32Pndbh0UFdRaQVEYiYYGHhyxCkZZ-UxIbQgRZMDPlsf8VpDAhqFdueSWDgIj7vA8H83OXMEHwuE=s0,http://www.rijksmuseum.nl/nl/collectie/RP-P-2009-965(V)
45b8b3a6-d019-4884-bd65-e4e3a8ca6e76.jpg,Aegidius Sadeler (II),Maria Magdalena,1610,1629,Rijksmuseum,https://lh4.ggpht.com/0grwIDz8deinKMeqg4wmqx0fZhGcyMoFDCZ1ugF9R4m-Ujsnt-nwvzZSaAjZntRsLtF7cyS_VCQ6cXROcWuisFRYJuE=s0,http://www.rijksmuseum.nl/nl/collectie/RP-P-OB-5140
7b5e3128-9088-492a-8933-2141cce920db.jpg,Philips Galle,Maria Magdalena,1560,1570,Rijksmuseum,https://lh5.ggpht.com/3Lzr65Kfl8593gaB-2iqHm4n96-7zjLv_d3pra3Ozn0w4sCkc-v5iRagMFU6GL_w-wCKvzFTmPskmbEi8cJv-oxFq-Q=s0,http://www.rijksmuseum.nl/nl/collectie/RP-P-1965-432
eb71d14a-c082-4ceb-aadf-35c61d22d380.jpg,Hendrick Danckerts,Maria Magdalena,1635,1679,Rijksmuseum,https://lh4.ggpht.com/-8y2vCl1LS77J3TnOgl4zITBbRm1ddQzh3s31-C_Hb0Bf_BaqkCg34XzvvTlDlZv0J4cZpUqY-fHOSKgrSOAihlAa2QQ=s0,http://www.rijksmuseum.nl/nl/collectie/RP-P-BI-6822
7ac10021-9ab4-4308-a578-579d1dea3bf8.jpg,Meester van de Emmerikse Heiligen,Maria Magdalena,1480,1500,Rijksmuseum,https://lh3.googleusercontent.com/75kJggvqXXXL9QMMx-lMltZSnzGhfZlucIZR4W8j4bFE49q9ZRq_nx6Pzpvss9rnR3OOiKouF_1qKu_OmB4YsOJbtw=s0,http://www.rijksmuseum.nl/nl/collectie/BK-1986-40
