id	year	author	title	link	subject	source
nn_marburger138_1913.txt	1913		Nr. 138, 18.11.1913.  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_marburger138_1913	Zeitung	Marburger Zeitung. Nr. 138, Marburg, 18.11.1913.
nn_reichspost106_1910.txt	1910		Nr. 106, 18.04.1910.  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_reichspost106_1910	Zeitung	Reichspost. Nr. 106, Wien, 18.04.1910.
muehlpfort_gedichte01_1686.txt	1686	Mühlpfort, Heinrich	Teutsche Gedichte  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/muehlpfort_gedichte01_1686	Belletristik: Lyrik	Mühlpfort, Heinrich: Teutsche Gedichte. Bd. 1. Breslau u. a., 1686. [HAB Wolfenbüttel, HAB Wolfenbüttel, Xb 1896:1]
526001.txt	1614	Murschel, Ehrenfried	Christliche Predigt/ Bey der Hochtrawrigen Leich vnnd Begräbnuß/ deß weiland Wolgebornen Herrn/ Herrn Reicharden  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/526001	Gebrauchsliteratur: Leichenpredigt	Murschel, Ehrenfried: Christliche Predigt. Marburg, 1614. [Universitätsbibliothek Breslau , Universitätsbibliothek Breslau, 4 S 312/5 / 526001]
hippel_lebenslaeufe0302_1781.txt	1781	Hippel, Theodor Gottlieb von	Lebensläufe nach Aufsteigender Linie – nebst Beylagen A, B, C (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/hippel_lebenslaeufe0302_1781	Belletristik: Roman	Hippel, Theodor Gottlieb von: Lebensläufe nach Aufsteigender Linie. Bd. 3,2. Berlin, 1781. [Staatsbibliothek zu Berlin – Preußischer Kulturbesitz, SBB-PK, 337104-3,2 R]
nn_maehrisches41_1898.txt	1898		Nr. 41, 21.02.1898.  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_maehrisches41_1898	Zeitung	Mährisches Tagblatt. Nr. 41, Olmütz, 21.02.1898.
kippenheim_dieberey_1660.txt	1660	Kippenheim, Heinrich Balthasar von	Wir Heinrich Balthasar von Kippenheim/ der Meyster und der Rath deß H. Reichs Freyen Statt Straßburg [...]  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/kippenheim_dieberey_1660	Gebrauchsliteratur: Verordnung	Kippenheim, Heinrich Balthasar von: Wir Heinrich Balthasar von Kippenheim/ der Meyster und der Rath deß H. Reichs Freyen Statt Straßburg [...]. [s. l.], 1660. [Universitäts- und Landesbibliothek Halle, ULB Halle, Kg 5876 a]
nn_marburger123_1909.txt	1909		Nr. 123, 14.10.1909.  (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_marburger123_1909	Zeitung	Marburger Zeitung. Nr. 123, Marburg, 14.10.1909.
nn_nrhz072b_1848.txt	1848		Neue Rheinische Zeitung – Organ der Demokratie (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_nrhz072b_1848	Zeitung	Neue Rheinische Zeitung. Nr. 72. Köln, 11. August 1848. Beilage.
nn_nrhz028b_1848.txt	1848		Neue Rheinische Zeitung – Organ der Demokratie (vollständige digitalisierte Ausgabe)	http://www.deutschestextarchiv.de/nn_nrhz028b_1848	Zeitung	Neue Rheinische Zeitung. Nr. 28. Köln, 28. Juni 1848. Beilage.
