id	year	author	title	filename	link
1899__Paolo Valera__Dal cellulare a Finalborgo.txt	1899	Paolo Valera	Dal cellulare a Finalborgo		https://www.gutenberg.org/ebooks/25285
1890__Giovanni Sforza__Garibaldi in toscana nel 1848.txt	1890	Giovanni Sforza	Garibaldi in toscana nel 1848		https://www.gutenberg.org/ebooks/34066
1879__Gaetano Sangiorgio__Le tre valli della Sicilia.txt	1879	Gaetano Sangiorgio	Le tre valli della Sicilia		https://www.gutenberg.org/ebooks/22506
1883__Camillo Antona-Traversi__Danza macàbra.txt	1883	Camillo Antona-Traversi	Danza macàbra		https://www.gutenberg.org/ebooks/42253
1920__Guido da Verona__Sciogli la treccia, Maria Maddalena.txt	1920	Guido da Verona	Sciogli la treccia, Maria Maddalena		https://www.gutenberg.org/ebooks/36326
1883__Antonio Ghislanzoni__La contessa di Karolystria.txt	1883	Antonio Ghislanzoni	La contessa di Karolystria		https://www.gutenberg.org/ebooks/17849
1859__Francesco Domenico Guerrazzi__Amelia Calani ed altri scritti.txt	1859	Francesco Domenico Guerrazzi	Amelia Calani ed altri scritti		https://www.gutenberg.org/ebooks/42436
1874__Salvatore Farina__Carta bollata.txt	1874	Salvatore Farina	Carta bollata		https://www.gutenberg.org/ebooks/17896
1837__Niccolò Tommaseo__Il duca d'Atene.txt	1837	Niccolò Tommaseo	Il duca d ' Atene		https://www.gutenberg.org/ebooks/46847
1893__Adolfo Rossi__Nel paese dei dollari.txt	1893	Adolfo Rossi	Nel paese dei dollari		https://www.gutenberg.org/ebooks/17836
1868__Luigi Gualdo__La gran rivale.txt	1868	Luigi Gualdo	La gran rivale		https://www.gutenberg.org/ebooks/20639
1802__Vittorio Alfieri__Ottavia.txt	1802	Vittorio Alfieri	Ottavia		https://www.gutenberg.org/ebooks/38012
1879__Alessandro De Gubernatis__Alessandro Manzoni.txt	1879	Alessandro De Gubernatis	Alessandro Manzoni		https://www.gutenberg.org/ebooks/7817
1863__Francesco Domenico Guerrazzi__Paolo Pelliccioni, Volume I (of 2).txt	1863	Francesco Domenico Guerrazzi	Paolo Pelliccioni, Volume I (of 2)		https://www.gutenberg.org/ebooks/
1886__Gabriele D'Annunzio__San Pantaleone.txt	1886	Gabriele D ' Annunzio	San Pantaleone		https://www.gutenberg.org/ebooks/37123
1847__Francesco Domenico Guerrazzi__I nuovi tartufi.txt	1847	Francesco Domenico Guerrazzi	I nuovi tartufi		https://www.gutenberg.org/ebooks/27791
1825__Ann Radcliffe__I misteri del castello d'Udolfo, vol. 4.txt	1825	Ann Radcliffe	I misteri del castello d ' Udolfo, vol. 4		https://www.gutenberg.org/ebooks/33784
1890__Giuseppe Giacosa__Tristi Amori.txt	1890	Giuseppe Giacosa	Tristi Amori		https://www.gutenberg.org/ebooks/25177
1881__Anton Giulio Barrili__Il ritratto del diavolo.txt	1881	Anton Giulio Barrili	Il ritratto del diavolo		https://www.gutenberg.org/ebooks/17858
1910__Alfredo Panzini__La Madonna di Mamà.txt	1910	Alfredo Panzini	La Madonna di Mamà		https://www.gutenberg.org/ebooks/
1847__Cristina Belgioioso__Studi intorno alla storia della Lombardia.txt	1847	Cristina Belgioioso	Studi intorno alla storia della Lombardia		https://www.gutenberg.org/ebooks/25318
