id	year	author	title	link
_gid001191401_01.nederlab.folia.txt	1914	gids, de	de gids. jaargang 78	https://www.dbnl.org/titels/titel.php?id=_gid001191401
krus003mijn01_01.nederlab.folia.txt	1877	mina kruseman	mijn leven	https://www.dbnl.org/titels/titel.php?id=krus003mijn01
buis006popu01_01.nederlab.folia.txt	1600	m. buisman j. fzn.	populaire prozaschrijvers van 1600 tot 1815	https://www.dbnl.org/titels/titel.php?id=buis006popu01
_bly001blyd01_01.nederlab.folia.txt	ca. 1819-1842	anoniem	de blyde welkomst, van een soldaat by zyn vrouw	https://www.dbnl.org/titels/titel.php?id=_bly001blyd01
_gro015groo01_01.nederlab.folia.txt	1815	anoniem	grooten hollandschen nachtegaal	https://www.dbnl.org/titels/titel.php?id=_gro015groo01
boer043sync01_01.nederlab.folia.txt	1918	r.c. boer	'syncope en consonantengeminatie'	https://www.dbnl.org/titels/titel.php?id=boer043sync01
hild004mapj01_01.nederlab.folia.txt	ca. 1906	marie hildebrandt	mapje en papje in het hazenbosch	https://www.dbnl.org/titels/titel.php?id=hild004mapj01
bild001dich01_01.nederlab.folia.txt	1859	katharina wilhelmina bilderdijk-schweickhardt	de dichtwerken van vrouwe katharina wilhelmina bilderdijk. deel 1	https://www.dbnl.org/titels/titel.php?id=bild001dich01
vrie101theo01_01.nederlab.folia.txt	1902	hugo de vries	'theorie en ervaring op het gebied der afstammingsleer'	https://www.dbnl.org/titels/titel.php?id=vrie101theo01
_gru004gruw01_01.nederlab.folia.txt	ca. 1811	anoniem	de gruweldadige tyranie of de afschrikkelijke misdaad	https://www.dbnl.org/titels/titel.php?id=_gru004gruw01
juta002zeem01_01.nederlab.folia.txt	1876	h.c. juta	zeemansliederen	https://www.dbnl.org/titels/titel.php?id=juta002zeem01
list002miro01_01.nederlab.folia.txt	1918	alfred listal	mirolijntje	https://www.dbnl.org/titels/titel.php?id=list002miro01
toll003skon02_01.nederlab.folia.txt	1831	hendrik tollens	's konings verjaardag	https://www.dbnl.org/titels/titel.php?id=toll003skon02
welt004limb01_01.nederlab.folia.txt	1876	h. welters	limburgsche legenden, sagen, sprookjes, en volksverhalen. deel 2	https://www.dbnl.org/titels/titel.php?id=welt004limb01
_voo016voor12_01.nederlab.folia.txt	1915	[serie] voorloopige lijst der nederlandsche monumenten van geschiedenis en kunst	voorloopige lijst der nederlandsche monumenten van geschiedenis en kunst. deel iii. de provincie zuidholland	https://www.dbnl.org/titels/titel.php?id=_voo016voor12
stor046zeve01_01.nederlab.folia.txt	1905	anna maria stork-kruyff	de zeven hondjes	https://www.dbnl.org/titels/titel.php?id=stor046zeve01
aa__001biog22_01.nederlab.folia.txt	1874	a.j. van der aa	biographisch woordenboek der nederlanden. deel 18	https://www.dbnl.org/titels/titel.php?id=aa__001biog22
aa__001biog24_01.nederlab.folia.txt	1877	a.j. van der aa	biographisch woordenboek der nederlanden. deel 20	https://www.dbnl.org/titels/titel.php?id=aa__001biog24
mero001over01_01.nederlab.folia.txt	1919	willem de mérode	de overgave	https://www.dbnl.org/titels/titel.php?id=mero001over01
oord002mooi01_01.nederlab.folia.txt	1898	joan frederik van oordt	mooi annie of de schipbreukelinge	https://www.dbnl.org/titels/titel.php?id=oord002mooi01
_vad003183501_01.nederlab.folia.txt	1835	vaderlandsche letteroefeningen	vaderlandsche letteroefeningen. jaargang 1835	https://www.dbnl.org/titels/titel.php?id=_vad003183501
potg001jczi12_01.nederlab.folia.txt	1898	e.j. potgieter	de werken. deel 13. kritische studiën. deel 1	https://www.dbnl.org/titels/titel.php?id=potg001jczi12
andr018weez01_01.nederlab.folia.txt	1900	p.j. andriessen	de weezen van vlissingen, of hoe onze republiek onafhankelijk werd	https://www.dbnl.org/titels/titel.php?id=andr018weez01
