id	year	author	title	tags	link
000003739	1835	ABBOTSFORD	Abbotsford, and Newstead Abbey. By the author of “The Sketch-Book” [i.e. Washington Irving]
000005294	1835	ABDY, Edward Strutt.	Journal of a Residence and Tour in the United States of North America, from April, 1833, to October, 1834
000005453	1835	ABEEL, David.	Journal of a Residence in China and the neighbouring countries from 1830 to 1833. With an introductory essay by the Hon. and Rev. Baptist Wriothesley Noel. [With a map.]
000006298	1832	ABERCROMBIE, John	[Inquiries concerning the Intellectual Powers and the Investigation of Truth ... Second edition.]
000006496	1836	ABERDEEN	Report on the Affairs of the Guildry of Aberdeen, ordered by a Head Court of the Brethern, 5th October, 1835. By a Committee of the Assessors
000006499	1834	ABERDEEN	Sum Notabill Thinges, excerptit frome the Auld Recordes of the honorabill citie of Aberdeene. 1565-1635. (Communicated by Joseph Robertson.)
000006821	1837	DUNCAN, William	Description of the Coast between Aberdeen and Leith. [By William Duncan.]
000007667		ABINGTON, William James Achilles.	Pensive Musings on the Pleasures of Melancholy, a didactic poem, by Trinitarius (W. J. A. Abington)
000008523	1838	ABRAHAM, Henry R.	A few plain but important statements upon ... the scheme for supplying Leeds with water, etc
000009517	1830	ABSENTEE	Absentee: a poem
000011026	1836	ACHENBACH, Hermann	Skizzen aus Norden, oder: Erinnerungen eines Ausruhenden. [With plates.]
000016193	1835	Adams, Josiah.	An Address delivered at Acton [Mass.], July 21, 1835, being the first Centennial Anniversary of the organization of that town. With an appendix, etc
000017752	1833	ADDE, Petrus Adolphus.	Acta historiam regis Chistierni II. illustrantia. Quae ... præside mag. Erico Gust. Geijer ... pro gradu philosophico p.p. P. A. Adde, etc
000018044	1838	ADDISON, Charles Greenstreet.	Damascus and Palmyra: a journey to the East. With a sketch of the state and prospects of Syria under Ibrahim Pasha. [With 10 illustrations by W. M. Thackeray.]
000018044	1838	ADDISON, Charles Greenstreet.	Damascus and Palmyra: a journey to the East. With a sketch of the state and prospects of Syria under Ibrahim Pasha. [With 10 illustrations by W. M. Thackeray.]
000018044	1838	ADDISON, Charles Greenstreet.	Damascus and Palmyra: a journey to the East. With a sketch of the state and prospects of Syria under Ibrahim Pasha. [With 10 illustrations by W. M. Thackeray.]
000018127	1834	ADDISON, Henry Robert.	Tam O' Shanter. A musical farce in two acts, etc. [In verse.]
000019869	1838	ADILARDI, Francesco.	Memorie storiche su lo stato fisico, morale e politico della città e del circondario di Nicotera
000027797	1834	COOLEY, William Desborough.	Prospectus of an Expedition into the Interior of South Africa from Dalagoa Bay, etc. [By W. D. Cooley.]
000028746	1833	AGASSIZ, Lewis	A Journey to Switzerland, and pedestrian tours in that country; including a sketch of its history and of the manners and customs of its inhabitants
000034780	1834	AINSWORTH, William Francis.	An Account of the Caves of Ballybunian, county of Kerry
000034789	1838	AINSWORTH, William Francis.	Researches in Assyria, Babylonia, and Chaldæa; forming part of the labours of the Euphrates Expedition. [With plans.]
000043140	1835	Beckford, William	Recollections of an Excursion to the Monasteries of Alcobaça &amp; Batalha. By the author of Vathek [i.e. W. Beckford. With a portrait]
000043280	1831	ALCOCK, Thomas	Travels in Russia, Persia, Turkey, and Greece in 1828-29. [With a folding plate and a map.]
000048080	1837	ALEXANDER, Disney.	Horæ Poeticæ. Or Poems, with notes. By a Retired Physician (D. Alexander)
000048373	1838	Alexander, James Edward	An Expedition of Discovery into the Interior of Africa through the hitherto undescribed countries of the Great Namaquas, Boschmans and Hill Damaras, etc. [With plates.]
000048374	1838	Alexander, James Edward	[An Expedition of Discovery into the Interior of Africa through the hitherto undescribed countries of the Great Namaquas, Boschmans and Hill Damaras, etc. [With plates.]]
000048374	1838	Alexander, James Edward	[An Expedition of Discovery into the Interior of Africa through the hitherto undescribed countries of the Great Namaquas, Boschmans and Hill Damaras, etc. [With plates.]]
000048378	1837	Alexander, James Edward	Narrative of a Voyage of Observation among the Colonies of Western Africa ... and of a campaign in Kaffir-Land ... in 1835 ... Illustrated with maps and plates by Major C. C. Michell
000048378	1837	Alexander, James Edward	Narrative of a Voyage of Observation among the Colonies of Western Africa ... and of a campaign in Kaffir-Land ... in 1835 ... Illustrated with maps and plates by Major C. C. Michell
000048380	1835	Alexander, James Edward	Sketches in Portugal during the Civil War of 1834 ... With observations on the present state and future prospects of Portugal. [With plates.]
000048382	1833	Alexander, James Edward	Transatlantic Sketches, comprising visits to the most interesting scenes in North and South America, and the West Indies; with notes on negro slavery and Canadian emigration. [With plates.]
000048382	1833	Alexander, James Edward	Transatlantic Sketches, comprising visits to the most interesting scenes in North and South America, and the West Indies; with notes on negro slavery and Canadian emigration. [With plates.]
000048384	1830	Alexander, James Edward	Travels to the Seat of War in the East, through Russia and the Crimea, in 1829, etc. [With plates and a map.]
000048487	1836	ALEXANDER, John Henry	Report on the new Map of Maryland. 1835. (Engineer's Report [by J. H. Alexander].-Report of the Geologist [by J. T. Ducatel].) [With maps.]
000048487	1836	ALEXANDER, John Henry	Report on the new Map of Maryland. 1835. (Engineer's Report [by J. H. Alexander].-Report of the Geologist [by J. T. Ducatel].) [With maps.]
000048487	1836	ALEXANDER, John Henry	Report on the new Map of Maryland. 1835. (Engineer's Report [by J. H. Alexander].-Report of the Geologist [by J. T. Ducatel].) [With maps.]
000049081	1838	ALEXANDER, William Henry.	Chronology of the Ancient World; a lecture, etc
000049797	1830	ALEXISBAD	Lettres sur Alexisbad et ses environs. [By W. von Freygang.]
000051061	1837	SCHWARZENBERG, Friedrich von	Rückblicke auf Algier und dessen Eroberung ... im Jahre 1830. Von einem Offizier aus dem Gefolge des Marschall grafen Baurmont [i.e. Friedrich von Schwarzenberg]
000056966	1837	ALLEN, Thomas	History and Antiquities of London, Westminster, Southwark, and parts adjacent, etc
000056966	1837	ALLEN, Thomas	History and Antiquities of London, Westminster, Southwark, and parts adjacent, etc
000056966	1837	ALLEN, Thomas	History and Antiquities of London, Westminster, Southwark, and parts adjacent, etc
000056966	1837	ALLEN, Thomas	History and Antiquities of London, Westminster, Southwark, and parts adjacent, etc
000056966	1837	ALLEN, Thomas	History and Antiquities of London, Westminster, Southwark, and parts adjacent, etc
000056969	1829	ALLEN, Thomas	History of the Counties of Surrey and Sussex ... Illustrated by a series of views engraved ... by Nathaniel Whittock
000056969	1829	ALLEN, Thomas	History of the Counties of Surrey and Sussex ... Illustrated by a series of views engraved ... by Nathaniel Whittock
000056969	1829	ALLEN, Thomas	History of the Counties of Surrey and Sussex ... Illustrated by a series of views engraved ... by Nathaniel Whittock
000056969	1829	ALLEN, Thomas	History of the Counties of Surrey and Sussex ... Illustrated by a series of views engraved ... by Nathaniel Whittock
000057997	1835	ALLIES, Jabez.	Observations on certain curious Indentations in the Old Red Sandstone of Worcestershire and Herefordshire, considered as the tracks of antediluvian animals. With ... engravings, etc
000058000	1838	ALLIES, Jabez.	On the Causes of Planetary Motion. With a diagram
000060900	1836	ALNWICK CASTLE	[Alnwick Castle, with other poems. [By Fitz-Greene Halleck.]]
000063926	1836	ALTMEYER, Jean Jacques.	Introduction à l'étude philosophique de l'histoire de l'humanité
000066701	1829	AMAN, Sigmund von.	Archontographie, oder chronologische Reihenfolge aller Päpste, Kaiser, Könige und Churfürsten der ältern sowohl, als neuern Geschichte Europa's. Nebst kurzer Beschreibung sämmtlicher während diesem Zeitraume gelieferten merkwürdigern Schlachten und Treffen
000068917	1833	BOARDMAN, James	America and the Americans. By a Citizen of the World [i.e. James Boardman?]
000069299	1835	SLIDELL, afterwards SLIDELL MACKENZIE, Alexander.	American in England. By the author of “A year in Spain” [i.e. Alexander Slidell, afterwards Slidell Mackenzie]
