id	year	author	title	tags	link
000018108	1846	Addison, George Augustus	Original familiar correspondence between residents in India, including sketches of Java, etc., etc
000018125	1839	ADDISON, Henry Robert.	Rhine, it's banks and environs, etc
000019505	1848	ADEN, Town of	Historical and Statistical Sketches of Aden ... during a two years' residence ... By an officer in the Queen's Army
000019927	1846	ADINOLTI, Giovanni Alfonso.	Storia della Cava, distinta in tre epoche
000020343	1844	ADLER, G. K.	Berneck und seine nächsten Umgebungen ... Zweite, ganz umgearbeitete Auflage
000021095	1840	ADOLPHUS, John	History of England, from the Accession to the Decease of King George the Third
000021095	1840	ADOLPHUS, John	History of England, from the Accession to the Decease of King George the Third
000021095	1840	ADOLPHUS, John	History of England, from the Accession to the Decease of King George the Third
000021095	1840	ADOLPHUS, John	History of England, from the Accession to the Decease of King George the Third
000021095	1840	ADOLPHUS, John	History of England, from the Accession to the Decease of King George the Third
000021095	1840	ADOLPHUS, John	History of England, from the Accession to the Decease of King George the Third
000021095	1840	ADOLPHUS, John	History of England, from the Accession to the Decease of King George the Third
000024928	1840	AFRICA	Queries relating to the Coast of Africa. (Queries relating to the Rivers of Africa.) [Prepared for circulation amongst officers and travellers as a means of obtaining information about the geography and customs of the country. With blank spaces for the answers.]
000024928	1840	AFRICA	Queries relating to the Coast of Africa. (Queries relating to the Rivers of Africa.) [Prepared for circulation amongst officers and travellers as a means of obtaining information about the geography and customs of the country. With blank spaces for the answers.]
000029844	1846	AGNEW, John Holmes.	Gem of the Season: with twenty plates by Sartain. Edited by J. H. Agnew
000034000	1839	AIKMAN, James.	Account of the Tournament at Eglinton, revised and corrected by several of the Knights ... With a biographical account of the Eglinton family; to which is prefixed a sketch of chivalry, and of the most remarkable Scottish tournaments
000034791	1842	AINSWORTH, William Francis.	Travels and Researches in Asia Minor, Mesopotamia, Chaldea, and Armenia. [With maps.]
000034920	1848	Ainsworth, William Harrison	[The miser's daughter, etc.]
000035035	1847	Ainsworth, William Harrison	[Windsor Castle: an historical romance. [With three plates by G. Cruikshank.]]
000035174	1848	AIRD, Thomas.	Poetical Works of Thomas Aird
000035821	1842	AITKIN, Thomas Johnstone.	Visitors Guide to Bournemouth ... Second edition, containing additions, etc. [With a map.]
000037766	1844	ALAMÁN, Lúcas.	Disertaciones sobre la Historia de la República Megicana, etc
000037766	1844	ALAMÁN, Lúcas.	Disertaciones sobre la Historia de la República Megicana, etc
000037766	1844	ALAMÁN, Lúcas.	Disertaciones sobre la Historia de la República Megicana, etc
000047913	1846	Alexander, Archibald	History of Colonization on the Western Coast of Africa
000048908	1841	ALEXANDER, William	A Journey to Beresford Hall, the seat of Charles Cotton Esqre, the celebrated author and angler. [Preceded by a memoir of the author. The dedication signed: J. G.]
000050865	1844	ALGERIA	Exploration scientifique de l'Algérie pendant les années 1840, 1841, 1842 publiée par ordre du gouvernement et avec le concours d'une commission académique
000050865	1844	ALGERIA	Exploration scientifique de l'Algérie pendant les années 1840, 1841, 1842 publiée par ordre du gouvernement et avec le concours d'une commission académique
000050865	1844	ALGERIA	Exploration scientifique de l'Algérie pendant les années 1840, 1841, 1842 publiée par ordre du gouvernement et avec le concours d'une commission académique
000050865	1844	ALGERIA	Exploration scientifique de l'Algérie pendant les années 1840, 1841, 1842 publiée par ordre du gouvernement et avec le concours d'une commission académique
