id	year	author	title	tags	link
1891__5__Various__Punch, Or The London Charivari, Vol. 101, July 18, 1891_distribution_gutenberg.txt	1891	Various	Punch, Or The London Charivari, Vol. 101, July 18, 1891		https://www.gutenberg.org/ebooks/13446
1884__30__Various__Wine, Women, and Song_distribution_gutenberg.txt	1884	Various	Wine, Women, and Song		https://www.gutenberg.org/ebooks/18044
1850__1__Various__Notes & Queries, No. 36. Saturday, July 6, 1850_distribution_gutenberg.txt	1850	Various	Notes & Queries, No. 36. Saturday, July 6, 1850		https://www.gutenberg.org/ebooks/13361
1823__9__Various__The Mirror of Literature, Amusement, and Instruction, No. 358_distribution_gutenberg.txt	1823	Various	The Mirror of Literature, Amusement, and Instruction, No. 358		https://www.gutenberg.org/ebooks/12898
1876__2__Various__Punch, or the London Charivari, Vol. 102, June 18, 1892_distribution_gutenberg.txt	1876	Various	Punch, or the London Charivari, Vol. 102, June 18, 1892		https://www.gutenberg.org/ebooks/
1851__19__W. Harrison Ainsworth__The Star-Chamber, Volume 1_distribution_gutenberg.txt	1851	W. Harrison Ainsworth	The Star-Chamber, Volume 1		https://www.gutenberg.org/ebooks/12396
1900__25__H. G. Wells__Love and Mr. Lewisham_distribution_gutenberg.txt	1900	H. G. Wells	Love and Mr. Lewisham		https://www.gutenberg.org/ebooks/
1922__37__Lytton Strachey__Books and Characters_distribution_gutenberg.txt	1922	Lytton Strachey	Books and Characters		https://www.gutenberg.org/ebooks/12478
1866__3__Sophie May__Little Prudy's Sister Susy_distribution_gutenberg.txt	1866	Sophie May	Little Prudy ' s Sister Susy		https://www.gutenberg.org/ebooks/
1890__24__Thomas De Quincey__The Collected Writing of Thomas De Quincey, Vol. II_distribution_gutenberg.txt	1890	Thomas De Quincey	The Collected Writing of Thomas De Quincey, Vol. II		https://www.gutenberg.org/ebooks/42909
1876__1__Various__Punch, or the London Charivari, Vol. 108, June 15th, 1895_distribution_gutenberg.txt	1876	Various	Punch, or the London Charivari, Vol. 108, June 15th, 1895		https://www.gutenberg.org/ebooks/42530
1916__11__Maharanee Sunity Devee__Bengal Dacoits and Tigers_distribution_gutenberg.txt	1916	Maharanee Sunity Devee	Bengal Dacoits and Tigers		https://www.gutenberg.org/ebooks/10928
1919__8__Various__More Translations from the Chinese_distribution_gutenberg.txt	1919	Various	More Translations from the Chinese		https://www.gutenberg.org/ebooks/16500
1859__7__Thomas Cochrane, Tenth Earl of Dundonald__Narrative of Services in the Liberation of Chili, Peru and Brazil,_distribution_gutenberg.txt	1859	Thomas Cochrane, Tenth Earl of Dundonald	Narrative of Services in the Liberation of Chili, Peru and Brazil,		https://www.gutenberg.org/ebooks/
1890__20__Thomas Adolphus Trollope__What I Remember, Volume 2_distribution_gutenberg.txt	1890	Thomas Adolphus Trollope	What I Remember, Volume 2		https://www.gutenberg.org/ebooks/
1863__40__David Livingstone__The Last Journals of David Livingstone, in Central Africa, from 1865 to His Death, Volume II (of  2), 1869-1873_distribution_gutenberg.txt	1863	David Livingstone	The Last Journals of David Livingstone, in Central Africa, from 1865 to His Death, Volume II (of  2), 1869-1873		https://www.gutenberg.org/ebooks/17024
1883__33__Editor: A.H. Bullen__A Collection Of Old English Plays, Vol. IV._distribution_gutenberg.txt	1883	Editor: A.H. Bullen	A Collection Of Old English Plays, Vol. IV.		https://www.gutenberg.org/ebooks/10925
1915__65__A. J. Dawson__Jan_distribution_gutenberg.txt	1915	A. J. Dawson	Jan		https://www.gutenberg.org/ebooks/16252
1907__5__Margaret A. McIntyre__The Cave Boy of the Age of Stone_distribution_gutenberg.txt	1907	Margaret A. McIntyre	The Cave Boy of the Age of Stone		https://www.gutenberg.org/ebooks/18576
1871__29__Various__Atlantic Monthly, Volume 8, Issue 45, July, 1861_distribution_gutenberg.txt	1871	Various	Atlantic Monthly, Volume 8, Issue 45, July, 1861		https://www.gutenberg.org/ebooks/
1856__20__Walter R. Cassels__Poems_distribution_gutenberg.txt	1856	Walter R. Cassels	Poems		https://www.gutenberg.org/ebooks/10328
1917__2__Lacy Collison-Morley__Greek and Roman Ghost Stories_distribution_gutenberg.txt	1917	Lacy Collison-Morley	Greek and Roman Ghost Stories		https://www.gutenberg.org/ebooks/
1876__8__Various__Punch, or the London Charivari, Vol. 156, Feb. 26, 1919_distribution_gutenberg.txt	1876	Various	Punch, or the London Charivari, Vol. 156, Feb. 26, 1919		https://www.gutenberg.org/ebooks/
1827__13__Harriet Vaughan Cheney__The Rivals of Acadia_distribution_gutenberg.txt	1827	Harriet Vaughan Cheney	The Rivals of Acadia		https://www.gutenberg.org/ebooks/17351
1869__54__Mary Jane Holmes__Ethelyn's Mistake_distribution_gutenberg.txt	1869	Mary Jane Holmes	Ethelyn ' s Mistake		https://www.gutenberg.org/ebooks/12104
1915__8__Joseph McCabe__The War and the Churches_distribution_gutenberg.txt	1915	Joseph McCabe	The War and the Churches		https://www.gutenberg.org/ebooks/
1886__15__John Lord__Beacon Lights of History, Volume VII_distribution_gutenberg.txt	1886	John Lord	Beacon Lights of History, Volume VII		https://www.gutenberg.org/ebooks/
1920__10__Melvin Moses Knight, Iva Lowther Peters, and Phyllis Mary Blanchard__Taboo and Genetics_distribution_gutenberg.txt	1920	Melvin Moses Knight, Iva Lowther Peters, and Phyllis Mary Blanchard	Taboo and Genetics		https://www.gutenberg.org/ebooks/
1876__5__Various__Punch, or the London Charivari, Vol. 159, July 7th, 1920_distribution_gutenberg.txt	1876	Various	Punch, or the London Charivari, Vol. 159, July 7th, 1920		https://www.gutenberg.org/ebooks/16684
