ec321	K077921.000
ec322	K099659.001
ec323	K054429.000
ec324	K110414.003
ec325	K086593.000
ec326	K112026.000
ec327	K000076.000
ec328	K106443.000
ec329	K053453.000
ec330	K072426.000
ec331	K047355.000
ec332	K132035.000
ec333	K044906.000
ec334	K000923.000
ec335	K048139.000
ec336	K119752.000
ec337	K042546.000
ec338	K101518.000
ec339	K082954.000
ec340	K112620.000
ec341	K050270.000
ec342	K056688.000
ec343	K035681.000
ec344	K016527.002
ec345	K041537.000
ec346	K037864.000
ec347	K024207.000
ec348	K062331.000
ec349	K059793.000
ec350	K112697.002
ec351	K015536.000
ec352	K064631.002
ec353	K054680.002
ec354	K020914.000
ec355	K113606.006
ec356	K000663.000
ec357	K092784.002
ec358	K060984.000
ec359	K035289.000
ec360	K073096.002
ec361	K017897.000
ec362	K000532.000
ec363	K050375.000
ec364	K089963.000
ec365	K068251.000
ec366	K051638.004
ec367	K000924.000
ec368	K007545.000
ec369	K002428.000
ec370	K059805.000
ec371	K014692.000
ec372	K075940.000
ec373	K020382.000
ec374	K100438.000
ec375	K061830.000
ec376	K036746.000
ec377	K013381.000
ec378	K030677.000
ec379	K062219.000
ec380	K043996.000
ec381	K023079.000
ec382	K034353.000
ec383	K011730.000
ec384	K050333.000
ec385	K103071.000
ec386	K093080.004
ec387	K042385.000
ec388	K023421.000
ec389	K064630.002
ec390	K039236.000
ec391	K019650.000
ec392	K032314.000
ec393	K123412.000
ec394	K087503.000
ec395	K113255.000
ec396	K030979.000
ec397	K059796.000
ec398	K107868.000
ec399	K058372.000
ec400	K118158.000
ec401	K127477.002
ec402	K008190.000
ec403	K089925.000
ec404	K052431.000
ec405	K111040.003
ec406	K001334.001
ec407	K047496.000
ec408	K008503.000
ec409	K029698.000
ec410	K093174.002
ec411	K105913.000
ec412	K075481.000
ec413	K060142.003
ec414	K024211.000
ec415	K023755.000
ec416	K068154.002
ec417	K093655.001
ec418	K064574.000
ec419	K094425.000
ec420	K101579.002
ec421	K030916.000
ec422	K062220.000
ec423	K051915.000
ec424	K011766.000
ec425	K017251.000
ec426	K117088.000
ec427	K116796.000
ec428	K042716.000
ec429	K112795.002
ec430	K000268.000
ec431	K049314.001
ec432	K114088.001
ec433	K067567.000
ec434	K123515.000
ec435	K031218.000
ec436	K000944.000
ec437	K097985.000
ec438	K011869.000
ec439	K027714.000
ec440	K056996.001
ec441	K132743.000
ec442	K020288.000
ec443	K006151.000
ec444	K111040.001
ec445	K050998.000
ec446	K086062.000
ec447	K079645.000
ec448	K087436.000
ec449	K063254.000
ec450	K024736.000
ec451	K050551.002
ec452	K052994.001
ec453	K061010.002
ec454	K021512.000
ec455	K032080.002
ec456	K057530.001
ec457	K066400.000
ec458	K061730.000
ec459	K033177.000
ec460	K089227.000
ec461	K002628.000
ec462	K067641.005
ec463	K050305.000
ec464	K037374.000
ec465	K033266.000
ec466	K074632.000
ec467	K007722.000
ec468	K050407.000
ec469	K036444.000
ec470	K043175.000
ec471	K052227.001
ec472	K028406.000
ec473	K081929.001
ec474	K030992.000
ec475	K078914.002
ec476	K060124.000
ec477	K064573.000
ec478	K078024.005
ec479	K065082.004
ec480	K030149.000
ec481	K032808.000
ec482	K082740.000
ec483	K065850.000
ec484	K013990.000
ec485	K023017.000
ec486	K081759.000
ec487	K114216.000
ec488	K030547.000
ec489	K104887.000
ec490	K023234.000
ec491	K059407.000
ec492	K131582.000
ec493	K040019.000
ec494	K000122.000
ec495	K103238.000
ec496	K068486.002
ec497	K064610.000
ec498	K037151.000
ec499	K113931.000
ec500	K050288.000
ec501	K037656.000
ec502	K092301.000
ec503	K047269.000
ec504	K061015.000
ec505	K094902.002
ec506	K044268.000
ec507	K014256.000
ec508	K072460.002
ec509	K050567.003
ec510	K113361.000
ec511	K000637.000
ec512	K100834.000
ec513	K107084.000
ec514	K060858.000
ec515	K035616.001
ec516	K047694.000
ec517	K063235.000
ec518	K021812.000
ec519	K026892.000
ec520	K012894.000
ec521	K083612.000
ec522	K108281.000
ec523	K053903.002
ec524	K036834.000
ec525	K120000.000
ec526	K053061.002
ec527	K000934.000
ec528	K039235.000
ec529	K131145.000
ec530	K060458.003
ec531	K020965.000
ec532	K041371.001
ec533	K022270.000
ec534	K113952.011
ec535	K063274.000
ec536	K096120.002
ec537	K059984.000
ec538	K046707.000
ec539	K021508.000
ec540	K007597.000
ec541	K085978.000
ec542	K056135.000
ec543	K000266.000
ec544	K051638.007
ec545	K021515.000
ec546	K040233.000
ec547	K118436.000
ec548	K111040.002
ec549	K090920.000
ec550	K050293.000
ec551	K036665.000
ec552	K026709.000
ec553	K079450.000
ec554	K021267.000
ec555	K074334.000
ec556	K050281.000
ec557	K060141.000
ec558	K113641.002
ec559	K089235.000
ec560	K045459.000
ec561	K059933.002
ec562	K008736.000
ec563	K021003.000
ec564	K039108.000
ec565	K083701.000
ec566	K039838.000
ec567	K023165.000
ec568	K039747.000
ec569	K037046.000
ec570	K096120.020
ec571	K051638.003
ec572	K098413.000
ec573	K003638.000
ec574	K126465.000
