K035875.000	2006	Defoe, Daniel, 1661?-1731.	More short-ways with the Dissenters:
K049335.003	2006	Smollett, Tobias George, 1721-1771.	The adventures of Peregrine Pickle: In which are included, Memoirs of a lady of quality. In four volumes. ... [pt.3]
K022968.002	2006	Pope, Alexander, 1688-1744.	Additions to the works of Alexander Pope: Esq. Together with many original poems and letters, of cotemporary [sic] writers, never before published. In two volumes. ... [pt.2]
K022939.007	2006	Pope, Alexander, 1688-1744.	The works of Alexander Pope Esq. In nine volumes complete. With his last corrections, additions, and improvements; ... Together with the commentaries and notes of Mr. Warburton: [pt.7]
K032309.000	2006	Centlivre, Susanna, 1667?-1723.	The gamester: a comedy: As it is acted at the New-Theatre in Lincolns-Inn-Fields, by Her Majesty's servants.
K017251.000	2006	Whitehead, William, 1715-1785.	Verses to the people of England: 1758. By William Whitehead, ...
K002628.000	2006	Whiston, William, 1667-1752.	Mr. Whiston's defence of himself: from the articles objected to him by Dr. Pelling; before the Court of Delegates, in a cause of heresy. To which is prefix'd the articles themselves.
K078958.000	2006	Pix, Mary, 1666-1720.	The adventures in Madrid: A comedy, as its is acted at the Queens Theatre in the Hay-market. By Her Majesty's Servants.
K024590.000	2006	Blair, Hugh, 1718-1800.	On the duties of the young: By Dr. Blair.
K078914.002	2006	Brooke, Frances, 1724?-1789.	The history of Emily Montague: By the author of Lady Julia Mandeville. ... [pt.2]
K036168.004	2006	Hume, David, 1711-1776.	Essays and treatises: on several subjects. By David Hume, Esq; In four volumes. ... [pt.4]
K027796.004	2006	Homer.	The Odyssey of Homer: [pt.4]
K102459.000	2006	Bayes, Thomas, attributed name. d. 1761,	An introduction to the doctrine of fluxions: and defence of the mathematicians against the objections of the author of the Analyst, ...
K020163.000	2006	Cumberland, Richard, 1732-1811.	Character of the late Lord Viscount Sackville:
K124157.005	2006	Burney, Fanny, 1752-1840.	Camilla: or, a picture of youth. By the author of Evelina and Cecilia. In six volumes. ... [pt.5]
K057041.000	2006	Ashmole, Elias, 1617-1692.	Memoirs of the life of that learned antiquary, Elias Ashmole, Esq: drawn up by himself by way of diary. With an appendix of original letters. Publish'd by Charles Burman, Esq;.
K056996.002	2006	Brooke, Frances, 1724?-1789.	The excursion: In two volumes. By Mrs. Brooke; ... [pt.2]
K070327.000	2006	Tickell, Richard, 1751-1793.	The wreath of fashion, or, the art of sentimental poetry:
K119774.000	2006	Defoe, Daniel, 1661?-1731.	A letter from Captain Tom to the mobb: now rais'd for Dr. Sacheverell.
K069558.000	2006	Oldys, William, 1696-1761.	A copious and exact catalogue of pamphlets in the Harleian library, &amp;c:
K045305.000	2006	Amhurst, N. (Nicholas), 1697-1742.	Strephon's revenge: a satire on the Oxford toasts. Inscrib'd to the author of Merton walks.
K103473.000	2006	Lardner, Nathaniel, 1684-1768.	The credibility of the Gospel history: or, the facts occasionally mention'd in the New Testament confirmed by passages of ancient authors, ... With an appendix concerning the time of Herod's death. The second edition with additions. By Nathaniel Lardner.
K106130.002	2006	Coxe, William, 1747-1828.	Travels in Switzerland: and in the country of the Grisons: in a series of letters to William Melmoth, Esq. from William Coxe, ... [pt.2]
K101784.000	2006	Gray, Thomas, 1716-1771.	The bard: A pindaric poem, by Mr. Gray. Translated into Latin verse. To which is prefixed a Dedication to the genius of antient Britain.
K050362.000	2006	Defoe, Daniel, 1661?-1731.	Union and no union. Being an enquiry into the grievances of the Scots. And how far they are right or wrong, who alledge that the union is dissolved:
K108031.002	2006	Leapor, Mrs. (Mary), 1722-1746.	Poems upon several occasions: By the late Mrs. Leapor, ... The second and last volume. [pt.2]
K000834.000	2006	Garrick, David, 1717-1779.	The fribbleriad:
K019611.001	2006	Blair, Hugh, 1718-1800.	Sermons: by Hugh Blair, D.D. One of the ministers of the High Church, and Professor of Rhetorick and Belles Lettres in the University, of Edinburgh. [pt.1]
K050345.000	2006	Defoe, Daniel, 1661?-1731.	A serious inquiry into this grand question: whether a law to prevent the occasional conformity of dissenters, would not be inconsistent with the Act of toleration, ...
K000113.000	2006	Rowe, Nicholas, 1674-1718.	The royal convert. A tragedy: As it is acted at the Queen's Theatre in the Hay-Market. By Her Majesty's sworn servants. Written by N. Rowe, Esq;.
K019611.004	2006	Blair, Hugh, 1718-1800.	Sermons: by Hugh Blair, D.D. One of the ministers of the High Church, and Professor of Rhetorick and Belles Lettres in the University, of Edinburgh. [pt.4]
K053904.003	2006	Radcliffe, Ann Ward, 1764-1823.	The Italian: or the confessional of the black penitents. A romance. By Ann Radcliffe, ... In three volumes. ... [pt.3]
K029314.000	2006	Foote, Samuel, 1720-1777.	The patron: A comedy in three acts. As it is performed at the Theatre in the Hay-Market. By Samuel Foote, Esq;.
K035747.000	2006	Bickerstaff, Isaac, 1735-1812.	The Ephesian matron: A comic serenata, after the manner of the Italian. As it is performed at Ranelagh House. The music by Mr. Dibdin.
K130750.000	2006	Sheridan, Frances Chamberlaine, 1724-1766.	Conclusion of the memoirs of Miss Sidney Bidulph, as prepared for the press by the late editor of the former part.:
K020285.000	2006	Cumberland, Richard, 1732-1811.	The summer's tale: A musical comedy of three acts. As it is performed at the Theatre Royal in Covent-Garden.
K017922.000	2006	Arnold, Cornelius, 1711-1757?	Distress: A poetical essay. Humbly inscribed to the Right Honourable John Earl of Radnor. The second edition corrected and enlarged. By Mr. Arnold.
K100379.000	2006	Arnold, Cornelius, 1711-1757?	Poems on several occasions: By C. Arnold.
K059166.000	2006	Defoe, Daniel, 1661?-1731.	Minutes of the negotiations: of Monsr. Mesnager at the court of England, towards the close of the last reign. ... Written by himself. Done out of French.
K035696.000	2006	Warton, Thomas, 1728-1790.	An enquiry into the authenticity of the poems attributed to Thomas Rowley: In which the arguments of the dean of Exeter, and Mr. Bryant, are examined. By Thomas Warton, Fellow of Trinity College Oxford, and F.S.A.
K071104.000	2006	Murray, James, 1732-1782.	Sermons to asses:
K059380.000	2006	Defoe, Daniel, 1661?-1731.	Religious courtship: being historical discourses, on the necessity of marrying religious husbands and wives only. As also of husbands and wives being of the same opinions in religion with one another. With an appendix ...
K036136.000	2006	Berkeley, George, 1685-1753.	An essay towards preventing the ruine of Great Britain:
K062687.000	2006	Cibber, Theophilus, 1703-1758.	An epistle from Mr. Theophilus Cibber, to David Garrick, Esq; To which are prefixed, some occasional verses, petitions, &amp;c:
K075606.005	2006	None	A select collection of poems: with notes, biographical and historical.: [pt.5]
