id	title	year	sameAs	author	license	publisher	type	archive	link
bpt6k65189468.txt	Description du parc de Brunehaut.	1827	https://data.bnf.fr/ark:/12148/bpt6k65189468	Viart, Amédée de (1809-1868)	Public domain	Paris. Le Normant fils, imprimeur du Roi, rue de Seine, n° 8, F. S. G. 1827.	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k65189468
bpt6k56298951.txt	La décadence romaine : scènes historiques / par M. Armand Pommier et M***	1861	https://data.bnf.fr/ark:/12148/bpt6k56298951	Pommier, Armand (1829-....)	Public domain	E. Dentu (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k56298951
bpt6k97741053.txt	Observations chirurgico-légales, sur un point important de la jurisprudence criminelle . Lues à la séance publique de l'Académie des sciences de Dijon, le 20 décembre 1789. Par M. le professeur Chaussier	1790	https://data.bnf.fr/ark:/12148/bpt6k97741053	Chaussier, François (1746-1828)	Public domain	Barrois le jeune (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k97741053
bpt6k62030330.txt	"Almanach musical pour ... : éphémérides musicales, biographies des célébrités de la musique / [par Moléri [""puis"" Molé] et Oscar Comettant]"	1864	https://data.bnf.fr/ark:/12148/bpt6k62030330		Public domain	Collignon (Paris)	publication en série imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k62030330
bpt6k6442314z.txt	Comité départemental de secours aux blessés et aux familles privées de leur section pendant la guerre : procès-verbal de la séance du 10 septembre 1871	1871	https://data.bnf.fr/ark:/12148/bpt6k6442314z		Public domain	Impr. de H. Gentel (Aurillac)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k6442314z
bpt6k6551730n.txt	"Examen de l'écrit intitulé ""La Chirobaliste d'Héron d'Alexandrie traduite du grec"", etc., etc. / [signé A.-J.-H. Vincent]"	1862	https://data.bnf.fr/ark:/12148/bpt6k6551730n	Vincent, Alexandre (1797-1868)	Public domain	Mallet-Bachelier (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k6551730n
bpt6k9687782x.txt	Le jeu des vertus : roman d'un auteur dramatique / Vte Henri de Bornier	1886	https://data.bnf.fr/ark:/12148/bpt6k9687782x	Bornier, Henri de (1825-1901)	Public domain	E. Dentu (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k9687782x
bpt6k62278480.txt	Notice de livres élémentaires à l'usage de l'enseignement dans les salles d'asile, de l'enseignement primaire, de l'enseignement spécial	1875	https://data.bnf.fr/ark:/12148/bpt6k62278480		Public domain	Hachette et Cie (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k62278480
bpt6k96341725.txt	Traités des tutelles et curatelles, de la division des choses et des moyens par lesquels on en acquiert la propriété . Par noble Louis Astruc,...	1758	https://data.bnf.fr/ark:/12148/bpt6k96341725	Astruc, Louis (16..-17.. ; juriste)	Public domain	J.-F. Forest (Toulouse)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k96341725
bpt6k5561968v.txt	"Recherches et doutes sur la naissance du duc de Bordeaux établis d'après la partie officielle du ""Moniteur"" et d'après les journaux de l'époque. [Par P.-J. Guilmot.]"	1834	https://data.bnf.fr/ark:/12148/bpt6k5561968v	Guilmot, Pierre-Joseph (bibliothécaire à Douai)	Public domain	Mme Vve Charles-Béchet (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5561968v
bpt6k9785999h.txt	Anciens poèmes chinois d'auteurs inconnus / traduits par Tsen Tsonming,...	1923	https://data.bnf.fr/ark:/12148/bpt6k9785999h		Public domain	J. Desvigne (Lyon)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k9785999h
bpt6k9602869n.txt	Manuel cristallographe, ou Abrégé de la cristallographie de M. Romé de l'Isle , avec une méthode facile pour connoître les différentes cristallisations des mixtes qui composent un cabinet de minéralogie, aidé par une collection de polièdres dont cet ouvrage est aussi une explication. Par M. Swebach Des Fontaines,...	1792	https://data.bnf.fr/ark:/12148/bpt6k9602869n	Swebach Des Fontaines	Public domain	Bossange et Cie (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k9602869n
bpt6k55484309.txt	Fas, son université et l'enseignement supérieur musulman / par G. Delphin,...	1889	https://data.bnf.fr/ark:/12148/bpt6k55484309	Delphin, Gaëtan (1857-1919)	Public domain	P. Perrier (Oran)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k55484309
bpt6k5468773d.txt	Du nouvel impôt sur les égouts : questions locales	1864	https://data.bnf.fr/ark:/12148/bpt6k5468773d		Public domain	Impr. de Olive (Marseille)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5468773d
bpt6k5712263s.txt	Symptômes spasmodiques et contractures permanentes dans la paralysie générale / par le Dr Marc Trénel,...	1894	https://data.bnf.fr/ark:/12148/bpt6k5712263s	Trénel, Marc (Dr)	Public domain	G. Steinheil (Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k5712263s
bpt6k6550775x.txt	Exposition d'archives et documents de guerre du service de santé de la 18e région et d'oeuvres d'artistes mobilisés au centre d'oto-rhino-laryngologie et de chirurgie maxillo-faciale, du 12 avril au 1er juin 1919, terrasse du Jardin-Public, Bordeaux : catalogue illustré	1919	https://data.bnf.fr/ark:/12148/bpt6k6550775x		Public domain	impr. Gounouilhou (Bordeaux)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k6550775x
bpt6k9766133r.txt	Restauration fonctionnelle du pouce : thèse présentée à la Faculté de médecine... / Gabriel Hanotte,...	1888	https://data.bnf.fr/ark:/12148/bpt6k9766133r	Hanotte, Gabriel	Public domain	impr. L. Dane (Lyonl)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k9766133r
bpt6k6366078d.txt	Notice biographique sur M. le comte Henri de Brimont	1869	https://data.bnf.fr/ark:/12148/bpt6k6366078d		Public domain	(Paris)	monographie imprimée	Bibliothèque nationale de France	https://gallica.bnf.fr/ark:/12148/bpt6k6366078d
