uri,label
http://vocab.getty.edu/aat/300263651,mold (grouping for gold-shaping )
http://vocab.getty.edu/aat/300263651,moulds (ggrouping for gold-shaping )
http://vocab.getty.edu/aat/300263651,mould (grouping for gold-shaping )
http://vocab.getty.edu/aat/300263651,金箔模 (塑金工具)
http://vocab.getty.edu/aat/300263651,鑄模
http://vocab.getty.edu/aat/300263651,jīn bó mó
http://vocab.getty.edu/aat/300263651,jin bo mo
http://vocab.getty.edu/aat/300263651,chin po mo
http://vocab.getty.edu/aat/300263651,mallen (gereedschap voor goudbewerking)
http://vocab.getty.edu/aat/300263651,mal (gereedschap voor goudbewerking)
http://vocab.getty.edu/aat/300263651,Goldschlägerformen
http://vocab.getty.edu/aat/300263651,Goldschlägerform
http://vocab.getty.edu/aat/300263651,moldes (herramienta modelado de oro)
http://vocab.getty.edu/aat/300263651,molde (herramienta de modelado de oro)
http://vocab.getty.edu/aat/300014645,fine-grain material
http://vocab.getty.edu/aat/300014645,"material, fine-grain"
http://vocab.getty.edu/aat/300014645,fijnkorrelig materiaal
http://vocab.getty.edu/aat/300014645,material de grano fino
http://vocab.getty.edu/aat/300246922,compounds (materials)
http://vocab.getty.edu/aat/300246922,compound (material)
http://vocab.getty.edu/aat/300246922,chemical compounds
http://vocab.getty.edu/aat/300246922,"compounds, chemical"
http://vocab.getty.edu/aat/300246922,verbindingen
http://vocab.getty.edu/aat/300246922,verbinding
http://vocab.getty.edu/aat/300246922,compuestos (material)
http://vocab.getty.edu/aat/300246922,compuesto (material)
http://vocab.getty.edu/aat/300237901,colloid (particulate material)
http://vocab.getty.edu/aat/300237901,膠體 (微粒材料)
http://vocab.getty.edu/aat/300237901,jiāo tǐ
http://vocab.getty.edu/aat/300237901,jiao ti
http://vocab.getty.edu/aat/300237901,chiao t'i
http://vocab.getty.edu/aat/300237901,colloïde
http://vocab.getty.edu/aat/300237901,coloide (material particulado)
http://vocab.getty.edu/aat/300226956,Greek fire
http://vocab.getty.edu/aat/300226956,"fire, Greek"
http://vocab.getty.edu/aat/300226956,"fire, wild"
http://vocab.getty.edu/aat/300226956,wild fire
http://vocab.getty.edu/aat/300226956,wildfire
http://vocab.getty.edu/aat/300226956,希臘燃燒劑
http://vocab.getty.edu/aat/300226956,希臘火藥
http://vocab.getty.edu/aat/300226956,xī là rán shāo jì
http://vocab.getty.edu/aat/300226956,xi la ran shao ji
http://vocab.getty.edu/aat/300226956,hsi la jan shao chi
http://vocab.getty.edu/aat/300226956,Grieks vuur
http://vocab.getty.edu/aat/300226956,griechische Feuer
http://vocab.getty.edu/aat/300226956,griechisches Feuer
http://vocab.getty.edu/aat/300226956,"Feuer, griechisches"
http://vocab.getty.edu/aat/300226956,fuego griego
http://vocab.getty.edu/aat/300011792,organic material
http://vocab.getty.edu/aat/300011792,organisch materiaal
http://vocab.getty.edu/aat/300011792,"material, organic"
http://vocab.getty.edu/aat/300011792,有機材料
http://vocab.getty.edu/aat/300011792,"matter, organic"
http://vocab.getty.edu/aat/300011792,organic matter
http://vocab.getty.edu/aat/300011792,yǒu jī cái liào
http://vocab.getty.edu/aat/300011792,you ji cai liao
http://vocab.getty.edu/aat/300011792,yu chi ts'ai liao
http://vocab.getty.edu/aat/300011792,material orgánico
http://vocab.getty.edu/aat/300014658,paneling
http://vocab.getty.edu/aat/300014658,paneling
http://vocab.getty.edu/aat/300014658,panel-work
http://vocab.getty.edu/aat/300014658,panelling
http://vocab.getty.edu/aat/300014658,lambrizeringen
http://vocab.getty.edu/aat/300014658,lambrizering
http://vocab.getty.edu/aat/300014658,paneelwerk
http://vocab.getty.edu/aat/300014658,panneau mural
http://vocab.getty.edu/aat/300014658,artesonado
http://vocab.getty.edu/aat/300014658,apanelar
http://vocab.getty.edu/aat/300162489,residue material
http://vocab.getty.edu/aat/300162489,residue materials
http://vocab.getty.edu/aat/300162489,"materials, residue"
http://vocab.getty.edu/aat/300162489,reststoffen
http://vocab.getty.edu/aat/300162489,materiales de residuo
http://vocab.getty.edu/aat/300011752,acid
http://vocab.getty.edu/aat/300011752,acids
http://vocab.getty.edu/aat/300011752,酸
http://vocab.getty.edu/aat/300011752,suān
http://vocab.getty.edu/aat/300011752,suan
http://vocab.getty.edu/aat/300011752,suan
http://vocab.getty.edu/aat/300011752,zuur
http://vocab.getty.edu/aat/300011752,ácido
http://vocab.getty.edu/aat/300435337,ice (general material)
http://vocab.getty.edu/aat/300435337,ices (general materials)
http://vocab.getty.edu/aat/300015003,emulsion
http://vocab.getty.edu/aat/300015003,"colloid, image-bearing (emulsion)"
http://vocab.getty.edu/aat/300015003,emulsion layer
http://vocab.getty.edu/aat/300015003,image-bearing colloid (emulsion)
http://vocab.getty.edu/aat/300015003,"layer, emulsion"
http://vocab.getty.edu/aat/300015003,乳劑
http://vocab.getty.edu/aat/300015003,乳狀液
http://vocab.getty.edu/aat/300015003,感光乳劑
http://vocab.getty.edu/aat/300015003,乳融體
http://vocab.getty.edu/aat/300015003,rǔ jì
http://vocab.getty.edu/aat/300015003,ru ji
http://vocab.getty.edu/aat/300015003,ju chi
http://vocab.getty.edu/aat/300015003,emulsie
http://vocab.getty.edu/aat/300015003,emulsioni
http://vocab.getty.edu/aat/300015003,emulsión
http://vocab.getty.edu/aat/300014701,additive (material)
http://vocab.getty.edu/aat/300014701,additives (materials)
http://vocab.getty.edu/aat/300014701,admixture
