id	year	author	title	filename	link
1914__DAnnunzio_Gabriele__Il_ferro.txt	1914	D'Annunzio, Gabriele	Il ferro
1879__Barrili_Anton_Giulio__Lutezia.txt	1879	Barrili, Anton Giulio	Lutezia
1882__Cossa_Pietro__Nerone.txt	1882	Cossa, Pietro	Nerone
1880__Cavallotti_Felice__La_marcia_di_Leonida.txt	1880	Cavallotti, Felice	La marcia di Leonida
1954__Metastasio_Pietro__Antigono.txt	1954	Metastasio, Pietro	Antigono
1936__Oppenheim_Edward_Phillips__Lombra_del_delitto.txt	1936	Oppenheim, Edward Phillips	L'ombra del delitto
1964__Settembrini_Luigi__Ricordanze_della_mia_vita_volume_primo.txt	1964	Settembrini, Luigi	Ricordanze della mia vita, volume primo
1883__Darwin_Charles__I_diversi_apparecchi_col_mezzo_dei_quali.txt	1883	Darwin, Charles	I diversi apparecchi col mezzo dei quali
1962__Volterra_Vito__Variazioni_e_fluttuazioni_del_numero_dindividui_in_specie_animali_conviventi.txt	1962	Volterra, Vito	Variazioni e fluttuazioni del numero d'individui in specie animali conviventi
1916__Panzini_Alfredo__La_Madonna_di_Mam.txt	1916	Panzini, Alfredo	La Madonna di Mamà
1905__Imbriani_Vittorio__Mastrimpicca.txt	1905	Imbriani, Vittorio	Mastr'impicca
1910__Negri_Ada__Dal_profondo.txt	1910	Negri, Ada	Dal profondo
1986__Pirandello_Luigi__Il_turno.txt	1986	Pirandello, Luigi	Il turno
1955__Goldoni_Carlo__Le_virtuose_ridicole.txt	1955	Goldoni, Carlo	Le virtuose ridicole
1994__Yambo_alias_Enrico_Novelli__Lallevatore_di_dinosauri_ovvero_Luovo_di_pterodattilo.txt	1994	Yambo (alias Enrico Novelli)	L'allevatore di dinosauri, ovvero L’uovo di pterodattilo
1824__Gibbon_Edward__Storia_della_decadenza_e_rovina_dellImpero_Romano_volume_settimo.txt	1824	Gibbon, Edward	Storia della decadenza e rovina dell'Impero Romano, volume settimo
1931__Dickens_Charles__La_bottega_dellantiquario.txt	1931	Dickens, Charles	La bottega dell'antiquario
1896__Carducci_Giosu__Su_lAminta_di_T_Tasso_saggi_tre.txt	1896	Carducci, Giosuè	Su l'Aminta di T. Tasso saggi tre
1990__Tarabotti_Arcangela__L_Inferno_monacale.txt	1990	Tarabotti, Arcangela	L' Inferno monacale
1905__Aristoteles__Trattato_dei_governi.txt	1905	Aristoteles	Trattato dei governi
1905__Bakunin_Mihail__Il_socialismo_e_Mazzini_lettera_agli_amici_dItalia.txt	1905	Bakunin, Mihail	Il socialismo e Mazzini: lettera agli amici d'Italia
1932__Steiner_Rudolf__Il_Vangelo_di_Marco.txt	1932	Steiner, Rudolf	Il Vangelo di Marco
1930__Moscardelli_Nicola__Il_sole_dellabisso.txt	1930	Moscardelli, Nicola	Il sole dell'abisso
1892__Lombroso_Cesare__Luomo_bianco_e_luomo_di_colore_Letture_su_lorigine_e_la_variet_delle_razze_umane.txt	1892	Lombroso, Cesare	L’uomo bianco e l’uomo di colore. Letture su l'origine e la varietà delle razze umane
1933__Malatesta_Errico__Lo_sciopero_Dramma_in_3_atti.txt	1933	Malatesta, Errico	Lo sciopero. Dramma in 3 atti
1885__Filicaia_Vincenzo_da__Lettere_inedite_a_Lorenzo_Magalotti.txt	1885	Filicaia, Vincenzo : da	Lettere inedite a Lorenzo Magalotti
1945__Juvalta_Erminio__La_dottrina_delle_due_etiche_di_H_Spencer_e_la_morale_come_scienza.txt	1945	Juvalta, Erminio	La dottrina delle due etiche di H. Spencer e la morale come scienza
1840__Pellico_Silvio__Poesie_scelte.txt	1840	Pellico, Silvio	Poesie scelte
1974__Deledda_Grazia__Annalena_Bilsini.txt	1974	Deledda, Grazia	Annalena Bilsini
1955__Goldoni_Carlo__Componimenti_poetici.txt	1955	Goldoni, Carlo	Componimenti poetici
1960__Shakespeare_William__Macbeth.txt	1960	Shakespeare, William	Macbeth
1976__Da_Ponte_Lorenzo__Memorie.txt	1976	Da Ponte, Lorenzo	Memorie
1880__Bachi_Felice__I_mesi_dellanno_ebraico_con_brevi_nozioni_di_archeologia_biblica.txt	1880	Bachi, Felice	I mesi dell'anno ebraico con brevi nozioni di archeologia biblica
1920__Valera_Paolo__Giacinto_Menotti_Serrati_direttore_dellAvanti.txt	1920	Valera, Paolo	Giacinto Menotti Serrati, direttore dell'Avanti!
2007__Cervantes_Saavedra_Miguel_de__Don_Chisciotte_della_Mancia.txt	2007	Cervantes Saavedra, Miguel : de	Don Chisciotte della Mancia
1974__De_Angelis_Augusto__De_Vincenzi_e_il_mistero_di_Cinecitt.txt	1974	De Angelis, Augusto	De Vincenzi e il mistero di Cinecittà
2000__Grasso_Francesco__2038_la_rivolta.txt	2000	Grasso, Francesco	2038: la rivolta
1797__Liguria_Repubblica__Costituzione_della_Repubblica_ligure_accettata_il_2_dicembre_1797.txt	1797	Liguria <Repubblica>	Costituzione della Repubblica ligure accettata il 2 dicembre 1797.
1914__Forteguerri_Niccol__Il_ricciardetto_Volume_I.txt	1914	Forteguerri, Niccolò	Il ricciardetto. Volume I
1975__Salgari_Emilio__La_crociera_della_Tuonante.txt	1975	Salgari, Emilio	La crociera della Tuonante
1904__Ferrero_Guglielmo__Grandezza_e_decadenza_di_Roma_3_Da_Cesare_ad_Augusto.txt	1904	Ferrero, Guglielmo	Grandezza e decadenza di Roma. 3: Da Cesare ad Augusto
1853__Mazzini_Giuseppe__Agli_italiani.txt	1853	Mazzini, Giuseppe	Agli italiani
1890__Giacosa_Giuseppe__Acquazzoni_in_montagna.txt	1890	Giacosa, Giuseppe	Acquazzoni in montagna
1878__Darwin_Charles__Le_piante_insettivore.txt	1878	Darwin, Charles	Le piante insettivore
1954__Metastasio_Pietro__Issipile.txt	1954	Metastasio, Pietro	Issipile
1955__Goldoni_Carlo__Il_Gondoliere_veneziano_ossia_Gli_Sdegni_amorosi.txt	1955	Goldoni, Carlo	Il Gondoliere veneziano ossia Gli Sdegni amorosi
1899__Fogazzaro_Antonio__Sonatine_bizzarre.txt	1899	Fogazzaro, Antonio	Sonatine bizzarre
1897__Martini_Ferdinando__Donne_salotti_e_costumi_conferenza.txt	1897	Martini, Ferdinando	Donne, salotti e costumi (conferenza)
1922__Chiurlo_Bindo__La_letteratura_ladina_del_Friuli.txt	1922	Chiurlo, Bindo	La letteratura ladina del Friuli
1921__Beltramelli_Antonio__Ahi_Giacometta_la_tua_ghirlandella.txt	1921	Beltramelli, Antonio	Ahi, Giacometta, la tua ghirlandella
1930__Omodeo_Adolfo__La_mistica_giovannea_saggio_critico_con_nuova_traduzione_dei_testi.txt	1930	Omodeo, Adolfo	La mistica giovannea: saggio critico con nuova traduzione dei testi
1912__Ricchi_Agostino__I_tre_tiranni.txt	1912	Ricchi, Agostino	I tre tiranni
1983__Mussolini_Benito__La_marcia_su_Roma.txt	1983	Mussolini, Benito	La marcia su Roma
1950__Mameli_Goffredo_18271849__Pagine_politiche.txt	1950	Mameli, Goffredo <1827-1849>	Pagine politiche
1896__Panzini_Alfredo__Gli_ingenui.txt	1896	Panzini, Alfredo	Gli ingenui
1925__De_Marchi_Emilio__Oggi_si_recita_in_casa_dello_zio_Emilio.txt	1925	De Marchi, Emilio	Oggi si recita in casa dello zio Emilio
1876__Palli_Bartolommei_Angelica__Racconti_di_Angelica_Palli_Bartolommei.txt	1876	Palli Bartolommei, Angelica	Racconti di Angelica Palli Bartolommei
1989__Pulci_Luigi__Morgante.txt	1989	Pulci, Luigi	Morgante
1922__Bracco_Roberto__Il_perfetto_amore.txt	1922	Bracco, Roberto	Il perfetto amore
1904__Gori_Pietro__Le_basi_morali_dellanarchia.txt	1904	Gori, Pietro	Le basi morali dell'anarchia
1975__Imbriani_Vittorio__XII_conti_pomiglianesi_con_varianti_avellinesi_montellesi_bagnolesi_milanesi_toscane_leccesi_ecc.txt	1975	Imbriani, Vittorio	XII conti pomiglianesi con varianti avellinesi, montellesi, bagnolesi, milanesi, toscane, leccesi, ecc.
1937__Berneri_Camillo__Mussolini_alla_conquista_delle_Baleari.txt	1937	Berneri, Camillo	Mussolini alla conquista delle Baleari
1854__Guerrazzi_Francesco_Domenico__Beatrice_Cnci_storia_del_secolo_XVI.txt	1854	Guerrazzi, Francesco Domenico	Beatrice Cènci : storia del secolo XVI
1795__Alfieri_Vittorio__Del_principe_e_delle_lettere.txt	1795	Alfieri, Vittorio	Del principe e delle lettere
1945__Huch_Ricarda__Le_memorie_di_Ludolf_Ursleu_il_giovane.txt	1945	Huch, Ricarda	Le memorie di Ludolf Ursleu il giovane
1964__Saintvremond_Charles_de_Marguetel_de_SaintDenis_de__Opere_slegate.txt	1964	Saint-Évremond, Charles de Marguetel de Saint-Denis : de	Opere slegate
1905__Amodeo_Federico__Vita_matematica_napoletana.txt	1905	Amodeo, Federico	Vita matematica napoletana
1816__Badia_y_Leblich_Domingo__Viaggi_di_Ali_Bey_elAbbassi_in_Africa_ed_in_Asia_dallanno_1803_a_tutto_il_1807_Tomo_4.txt	1816	Badia y Leblich, Domingo	Viaggi di Ali Bey el-Abbassi in Africa ed in Asia dall'anno 1803 a tutto il 1807 - Tomo 4
1370__William_Shakespeare__Tanto_trambusto_per_nulla.txt	1370	William Shakespeare	Tanto trambusto per nulla
1922__Albertazzi_Adolfo__Top.txt	1922	Albertazzi, Adolfo	Top
1913__Albertazzi_Adolfo__Amore_e_amore_novelle.txt	1913	Albertazzi, Adolfo	Amore e amore : novelle
2001__Malatesta_Errico__Lanarchia.txt	2001	Malatesta, Errico	L'anarchia
2000__Boito_Arrigo__Falstaff_Commedia_lirica in_tre_atti.txt	2000	Boito, Arrigo	Falstaff – Commedia lirica in tre atti
1980__Martello_Pier_Jacopo__Lo_starnuto_di_Ercole.txt	1980	Martello, Pier Jacopo	Lo starnuto di Ercole
1887__Sangiorgio_Gaetano__Le_tre_valli_della_Sicilia.txt	1887	Sangiorgio, Gaetano	Le tre valli della Sicilia
1913__Pitr_Giuseppe__Fiabe_novelle_e_racconti_popolari_siciliani_Vol_1.txt	1913	Pitrè, Giuseppe	Fiabe novelle e racconti popolari siciliani. Vol. 1
1912__Neera_alias_Anna_Radius_Zuccari__La_sottana_del_diavolo_Novelle.txt	1912	Neera (alias Anna Radius Zuccari)	La sottana del diavolo : Novelle
1946__Baratono_Adelchi__Le_due_facce_di_Carlo_Marx.txt	1946	Baratono, Adelchi	Le due facce di Carlo Marx
1911__Della_Porta_Giovan_Battista__Lo_astrologo.txt	1911	Della Porta, Giovan Battista	Lo astrologo
1909__Anonimo__Storia_dei_paladini_di_Francia_da_Carlo_Magno_imperatore_fino_alla_sua_morte_compresavi_la_battaglia.txt	1909	Anonimo	Storia dei paladini di Francia da Carlo Magno imperatore fino alla sua morte, compresavi la battaglia di Roncisvalle
1966__Azeglio_Massimo_d__Racconti_leggende_e_ricordi_della_vita_italiana.txt	1966	Azeglio, Massimo : d'	Racconti, leggende e ricordi della vita italiana
1883__Palmeri_Niccol__Calendario_dello_agricoltore_siciliano.txt	1883		
1988__Plato__Eutifrone.txt	1988	Plato	Eutifrone
1889__De_Roberto_Federico__Ermanno_Raeli.txt	1889	De Roberto, Federico	Ermanno Raeli
1976__Mazzini_Giuseppe__Istruzione_generale_per_gli_affratellati_nella_Giovane_Italia.txt	1976	Mazzini, Giuseppe	Istruzione generale per gli affratellati nella Giovane Italia
1911__Thorpe_Edward__Storia_della_chimica.txt	1911	Thorpe, Edward	Storia della chimica
1934__Jolanda_alias_Majocchi_Plattis_Maria__Suor_Immacolata.txt	1934	Jolanda, (alias Majocchi Plattis, Maria)	Suor Immacolata
1936__Crawford_Francis_Marion__La_suora_bianca.txt	1936	Crawford, Francis Marion	La suora bianca
