i74	1880__Bachi_Felice__I_mesi_dellanno_ebraico_con_brevi_nozioni_di_archeologia_biblica.txt
i75	1920__Valera_Paolo__Giacinto_Menotti_Serrati_direttore_dellAvanti.txt
i76	2007__Cervantes_Saavedra_Miguel_de__Don_Chisciotte_della_Mancia.txt
i77	1974__De_Angelis_Augusto__De_Vincenzi_e_il_mistero_di_Cinecitt.txt
i78	2000__Grasso_Francesco__2038_la_rivolta.txt
i79	1797__Liguria_Repubblica__Costituzione_della_Repubblica_ligure_accettata_il_2_dicembre_1797.txt
i80	1914__Forteguerri_Niccol__Il_ricciardetto_Volume_I.txt
i81	1975__Salgari_Emilio__La_crociera_della_Tuonante.txt
i82	1904__Ferrero_Guglielmo__Grandezza_e_decadenza_di_Roma_3_Da_Cesare_ad_Augusto.txt
i83	1853__Mazzini_Giuseppe__Agli_italiani.txt
i84	1890__Giacosa_Giuseppe__Acquazzoni_in_montagna.txt
i85	1878__Darwin_Charles__Le_piante_insettivore.txt
i86	1954__Metastasio_Pietro__Issipile.txt
i87	1955__Goldoni_Carlo__Il_Gondoliere_veneziano_ossia_Gli_Sdegni_amorosi.txt
i88	1899__Fogazzaro_Antonio__Sonatine_bizzarre.txt
i89	1897__Martini_Ferdinando__Donne_salotti_e_costumi_conferenza.txt
i90	1922__Chiurlo_Bindo__La_letteratura_ladina_del_Friuli.txt
i91	1921__Beltramelli_Antonio__Ahi_Giacometta_la_tua_ghirlandella.txt
i92	1930__Omodeo_Adolfo__La_mistica_giovannea_saggio_critico_con_nuova_traduzione_dei_testi.txt
i93	1912__Ricchi_Agostino__I_tre_tiranni.txt
i94	1983__Mussolini_Benito__La_marcia_su_Roma.txt
i95	1950__Mameli_Goffredo_18271849__Pagine_politiche.txt
i96	1896__Panzini_Alfredo__Gli_ingenui.txt
i97	1925__De_Marchi_Emilio__Oggi_si_recita_in_casa_dello_zio_Emilio.txt
i98	1876__Palli_Bartolommei_Angelica__Racconti_di_Angelica_Palli_Bartolommei.txt
i99	1989__Pulci_Luigi__Morgante.txt
i100	1922__Bracco_Roberto__Il_perfetto_amore.txt
i101	1904__Gori_Pietro__Le_basi_morali_dellanarchia.txt
